frame_proto,packet_total,packets_half,volume_total,volume_half
eth:ethertype:ip:udp:kip,116921,57524,7618582,3748043
eth:ethertype:ip:udp:kink,674,332,104987,55962
eth:ethertype:ip:udp:kerberos,232655,115991,36213085,18053871
eth:ethertype:ip:udp:kdp,427,221,99971,44724
eth:ethertype:ip:udp:jmirror:ipv6:data,6,2,1111,232
eth:ethertype:ip:udp:jmirror:ipv6,8,6,486,360
eth:ethertype:ip:udp:isakmp,2554385,1282785,808579255,406638792
eth:ethertype:ip:udp:ipx:data,24,10,15783,4722
eth:ethertype:ip:udp:ipx,9,4,665,240
eth:ethertype:ip:udp:ipvs,178,87,76554,32228
eth:ethertype:ip:udp:ip,19,10,1520,800
eth:ethertype:ip:udp:infiniband:data,33,17,4405,2075
eth:ethertype:ip:udp:infiniband,112,50,17597,7793
eth:ethertype:ip:udp:ieee1722:iec61883,21,10,1812,713
eth:ethertype:ip:udp:ieee1722:data,153,73,77844,33377
eth:ethertype:ip:udp:ieee1722:cvf:data,1,1,554,554
eth:ethertype:ip:udp:ieee1722:aaf,3,2,216,144
eth:ethertype:ip:udp:ieee1722,31,19,1860,1140
eth:ethertype:ip:udp:idn,222,103,86382,36430
eth:ethertype:ip:udp:icq,126,63,7560,3780
eth:ethertype:ip:udp:icp,124,66,26310,14903
eth:ethertype:ip:udp:iax2:data,85,46,15203,8193
eth:ethertype:ip:udp:iax2,3876,1930,240602,122490
eth:ethertype:ip:udp:iapp,301,153,43002,24058
eth:ethertype:ip:udp:hiqnet,125,57,26689,11003
eth:ethertype:ip:udp:hip,6,1,360,60
eth:ethertype:ip:udp:hcrt,760,405,110264,59596
eth:ethertype:ip:udp:hart_ip,257615,128868,15457183,7732203
eth:ethertype:ip:udp:h501,285,131,34810,16904
eth:ethertype:ip:udp:h248,514,292,57852,33104
eth:ethertype:ip:udp:h225:data,2,0,235,0
eth:ethertype:ip:udp:h225,25041,12900,1884470,971168
eth:ethertype:ip:udp:gvcp,2,2,130,130
eth:ethertype:ip:udp:gtpprime,25440,12743,1528054,765871
eth:ethertype:ip:udp:gtp:gtpv2,215342,107558,12930421,6458943
eth:ethertype:ip:udp:gtp,292733,148221,17582253,8902173
eth:ethertype:ip:udp:gsmtap:sndcp,2,0,252,0
eth:ethertype:ip:udp:gsmtap:gsm_sim,3,1,180,60
eth:ethertype:ip:udp:gsmtap:data,47,24,20647,9465
eth:ethertype:ip:udp:gsmtap,86,35,6841,2613
eth:ethertype:ip:udp:gre:data,336,163,30647,14743
eth:ethertype:ip:udp:gre,203,91,23648,11779
eth:ethertype:ip:udp:gquic,508150,253912,707277607,353402008
eth:ethertype:ip:udp:gprs-ns:bssgp,42,21,2742,1398
eth:ethertype:ip:udp:gprs-ns,371,183,117688,59545
eth:ethertype:ip:udp:goose:cotp:goose,24,4,16352,3752
eth:ethertype:ip:udp:goose:cotp:data,1,0,187,0
eth:ethertype:ip:udp:goose:cotp,369,103,219282,58241
eth:ethertype:ip:udp:geneve:data,626,540,66643,57972
eth:ethertype:ip:udp:geneve:cl3,1,1,106,106
eth:ethertype:ip:udp:geneve:bap,2,2,212,212
eth:ethertype:ip:udp:geneve,84,41,6374,3074
eth:ethertype:ip:udp:find,25,12,13593,5746
eth:ethertype:ip:udp:eth:llc:data,42,4,3194,740
eth:ethertype:ip:udp:eth:llc,9,0,578,0
eth:ethertype:ip:udp:eth:ethertype:data,153,64,79872,34356
eth:ethertype:ip:udp:eth,47,28,2820,1680
eth:ethertype:ip:udp:epl:data,10032,5045,853189,428825
eth:ethertype:ip:udp:epl,541,271,45810,22960
eth:ethertype:ip:udp:enttec,2,0,126,0
eth:ethertype:ip:udp:enrp,206,95,83947,35935
eth:ethertype:ip:udp:enip,69806,34867,4675748,2337343
eth:ethertype:ip:udp:elasticsearch,815,419,142799,73803
eth:ethertype:ip:udp:egd:data,128,65,81647,40569
eth:ethertype:ip:udp:egd,65,35,4002,2139
eth:ethertype:ip:udp:edonkey,2,2,1108,1108
eth:ethertype:ip:udp:ecmp,107,52,20362,11844
eth:ethertype:ip:udp:echo,402812,200397,25120681,12500022
eth:ethertype:ip:udp:ecatf:tc_nv,172,82,13800,6053
eth:ethertype:ip:udp:ecatf:ioraw,21,15,8477,6711
eth:ethertype:ip:udp:ecatf:ecat_mailbox,70,28,49757,19121
eth:ethertype:ip:udp:ecatf:ecat,236717,118312,20831761,10411036
eth:ethertype:ip:udp:ecatf:data,497,260,77593,42594
eth:ethertype:ip:udp:ecatf:ams,13,10,1672,1432
eth:ethertype:ip:udp:ecatf,54,29,3240,1740
eth:ethertype:ip:udp:e100:eth,3531,1698,247170,118860
eth:ethertype:ip:udp:dvb_ipdc:data,576,288,110255,50542
eth:ethertype:ip:udp:dvb_ipdc:alc:rmt-lct:data,2,0,144,0
eth:ethertype:ip:udp:dvb_ipdc:alc:rmt-lct,10,5,3281,1157
eth:ethertype:ip:udp:dtls,971877,485547,198724302,99314717
eth:ethertype:ip:udp:dpnet,168,68,25349,8659
eth:ethertype:ip:udp:doip,209,113,83981,39435
eth:ethertype:ip:udp:dof,2509,1295,193630,99800
eth:ethertype:ip:udp:dns,4880591,2441129,389232396,194658244
eth:ethertype:ip:udp:dmp,61,32,6666,4201
eth:ethertype:ip:udp:dlsw,4,3,2561,1892
eth:ethertype:ip:udp:dlep,29,12,15890,6236
eth:ethertype:ip:udp:dis,24252,12066,3880259,1927166
eth:ethertype:ip:udp:dhcpv6,66,34,31760,16567
eth:ethertype:ip:udp:dhcp,347,315,67851,50912
eth:ethertype:ip:udp:ddtp,9,3,708,264
eth:ethertype:ip:udp:dcp-etsi:dcp-pft,26,6,13574,2921
eth:ethertype:ip:udp:dcp-etsi:dcp-af,22,7,11536,2910
eth:ethertype:ip:udp:dcerpc,15,0,2444,0
eth:ethertype:ip:udp:dcc,56,26,18368,9117
eth:ethertype:ip:udp:db-lsp-disc:json:data-text-lines,125,70,7500,4200
eth:ethertype:ip:udp:db-lsp-disc,201,96,84137,38291
eth:ethertype:ip:udp:daytime,171310,85380,10291544,5129626
eth:ethertype:ip:udp:data,56245926,27805236,7709099757,3513889272
eth:ethertype:ip:udp:cups,48927,24456,3631905,1816010
eth:ethertype:ip:udp:cpfi,12,7,720,420
eth:ethertype:ip:udp:corosync_totemnet:data,1510,1061,149078,95472
eth:ethertype:ip:udp:collectd,192,96,63412,26889
eth:ethertype:ip:udp:coap:data,16202,8102,1394439,706197
eth:ethertype:ip:udp:coap:cbor,32778,16383,1966680,982980
eth:ethertype:ip:udp:coap,1754082,877130,108910706,54462539
eth:ethertype:ip:udp:cnip:lon,14321,7128,1088396,541728
eth:ethertype:ip:udp:cnip:data,97,47,38522,20652
eth:ethertype:ip:udp:cnip,355,196,38639,21388
eth:ethertype:ip:udp:cldap,1225789,613681,108905889,54529015
eth:ethertype:ip:udp:classicstun,31270,15661,2189860,1097230
eth:ethertype:ip:udp:cipio,25106,12702,1676064,846653
eth:ethertype:ip:udp:cigi,177,123,22905,15910
eth:ethertype:ip:udp:chargen,809696,407821,49311561,24834515
eth:ethertype:ip:udp:cflow,178,92,10680,5520
eth:ethertype:ip:udp:capwap:dtls,8,2,1509,1126
eth:ethertype:ip:udp:capwap.data:eth:llc:data,2,0,166,0
eth:ethertype:ip:udp:capwap.data:eth:ethertype:data,39,21,4865,3008
eth:ethertype:ip:udp:capwap.data:eth,6,5,360,300
eth:ethertype:ip:udp:capwap.data:dtls,15,8,1408,986
eth:ethertype:ip:udp:capwap.data:data,26,10,10759,3176
eth:ethertype:ip:udp:capwap.data,190,100,17243,9778
eth:ethertype:ip:udp:capwap:data,11,7,6749,3878
eth:ethertype:ip:udp:capwap,137,65,19827,9545
eth:ethertype:ip:udp:caneth:data:data,5302,2661,461274,231507
eth:ethertype:ip:udp:c1222,220,121,50602,18377
eth:ethertype:ip:udp:bvlc:bacnet:bacapp,795255,397737,48612710,24311099
eth:ethertype:ip:udp:bundle:data,1,1,198,198
eth:ethertype:ip:udp:bundle,1,1,60,60
eth:ethertype:ip:udp:bjnp,666,290,295603,125725
eth:ethertype:ip:udp:bfd_echo,269,133,41541,24297
eth:ethertype:ip:udp:bfd,191773,96895,19109476,9682985
eth:ethertype:ip:udp:bat.vis:data,150,67,36709,17894
eth:ethertype:ip:udp:bat.vis,18,8,1574,480
eth:ethertype:ip:udp:bat.gw:ip,20,17,2320,2140
eth:ethertype:ip:udp:bat.gw:data,112,48,25827,10042
eth:ethertype:ip:udp:bat.gw,155,71,9300,4260
eth:ethertype:ip:udp:bat:data,218,142,29326,19319
eth:ethertype:ip:udp:ayiya:sctp,1,1,106,106
eth:ethertype:ip:udp:ayiya:ipcomp:data,1,1,106,106
eth:ethertype:ip:udp:ayiya:dsr:ipv6.hopopts:ipv6.hopopts,2,1,144,72
eth:ethertype:ip:udp:ayiya,19230,9778,8565749,4354155
