dst,packet_total,volume_total
200.236.62.186,274880,17783520
200.236.62.185,273972,17717010
200.236.62.184,275489,17817014
200.236.62.183,273467,17733338
200.236.62.18,273138,17673060
200.236.62.182,277721,17939148
200.236.62.181,277329,17948170
200.236.62.180,275873,17855138
200.236.62.179,273086,17830806
200.236.62.178,329624,21887896
200.236.62.177,274518,17762769
200.236.62.176,278359,17990134
200.236.62.175,274877,17752233
200.236.62.174,274317,17739380
200.236.62.173,280930,18121249
200.236.62.17,273989,17759292
200.236.62.172,273673,17744987
200.236.62.171,280970,18182746
200.236.62.170,275406,17802133
200.236.62.169,274370,17745531
200.236.62.168,276109,17853691
200.236.62.167,275801,17842016
200.236.62.166,273487,17698093
200.236.62.165,276724,17866301
200.236.62.164,272511,17652600
200.236.62.163,272570,17635672
200.236.62.16,275481,17812642
200.236.62.162,276251,17834395
200.236.62.161,274759,17766677
200.236.62.160,274372,17752392
200.236.62.159,273921,17723921
200.236.62.158,273801,17726364
200.236.62.157,273344,17675059
200.236.62.156,272359,17612781
200.236.62.155,273533,17705074
200.236.62.154,273815,17726872
200.236.62.153,275392,17810417
200.236.62.15,274625,17789509
200.236.62.152,273993,17743199
200.236.62.151,274594,17769663
200.236.62.150,272602,17637170
200.236.62.149,276684,17872852
200.236.62.148,276333,17878400
200.236.62.147,273641,17711961
200.236.62.146,277315,17934751
200.236.62.145,274710,17793031
200.236.62.144,274145,17735153
200.236.62.143,274967,17806560
200.236.62.14,275198,17796111
200.236.62.142,273981,17695332
200.236.62.141,275094,17817737
200.236.62.140,273550,17700708
200.236.62.139,276851,17945752
200.236.62.138,273879,17750486
200.236.62.137,275559,17813469
200.236.62.136,273128,17670086
200.236.62.135,273702,17711511
200.236.62.134,277402,17985687
200.236.62.133,276788,17885442
200.236.62.13,276871,17940094
200.236.62.132,276453,17902426
200.236.62.131,279193,18093966
200.236.62.130,278007,17984558
200.236.62.129,276998,17955535
200.236.62.128,274319,17774378
200.236.62.1,278637,18030820
200.236.62.127,274471,17784125
200.236.62.126,274946,17799991
200.236.62.125,276050,17840486
200.236.62.124,274906,17795146
200.236.62.123,278847,18045893
200.236.62.12,272614,17632396
200.236.62.122,278264,17994131
200.236.62.121,279732,18101147
200.236.62.120,274941,17802400
200.236.62.119,274481,17750137
200.236.62.118,273687,17718515
200.236.62.117,276058,17861504
200.236.62.116,275158,17791607
200.236.62.115,276510,17899471
200.236.62.114,305855,19691770
200.236.62.113,276011,17807695
200.236.62.11,278074,17987143
200.236.62.112,272307,17642154
200.236.62.111,276012,17847803
200.236.62.110,275796,17881803
200.236.62.109,278822,18021684
200.236.62.108,275382,17856939
200.236.62.107,276201,17866172
200.236.62.106,278048,17953982
200.236.62.105,276927,17927523
200.236.62.104,273894,17760052
200.236.62.103,277010,17923402
200.236.62.10,274959,17787584
200.236.62.102,275131,17801002
200.236.62.101,275570,17840228
200.236.62.100,279325,18044102
200.236.62.0,271462,17520173
200.236.61.99,276835,17889000
200.236.61.98,274485,17745694
200.236.61.97,277347,17916032
200.236.61.96,275789,17820570
200.236.61.95,274085,17760361
200.236.61.94,273067,17681823
200.236.61.93,273729,17681206
200.236.61.9,284665,18335786
200.236.61.92,275048,17741650
200.236.61.91,276808,17887315
200.236.61.90,277354,17921606
200.236.61.89,283445,18295404
200.236.61.88,274857,17793783
200.236.61.87,278860,18008225
200.236.61.86,276163,17854161
200.236.61.85,278825,18045409
200.236.61.84,275922,17832408
200.236.61.83,275451,17782045
200.236.61.8,294867,19026115
200.236.61.82,274584,17736178
200.236.61.81,273546,17689467
200.236.61.80,279874,18096131
200.236.61.79,277159,17908203
200.236.61.78,274086,17773411
200.236.61.77,273757,17695872
200.236.61.76,280949,18129530
200.236.61.75,275096,17759788
200.236.61.74,273732,17691651
200.236.61.73,274252,17722516
200.236.61.7,287965,19125921
200.236.61.72,276185,17854802
200.236.61.71,272430,17622384
200.236.61.70,273846,17693768
200.236.61.69,280103,18120860
200.236.61.68,275636,17821215
200.236.61.67,281683,18191659
200.236.61.66,279067,18080510
200.236.61.65,273958,17721133
200.236.61.64,274961,17777793
200.236.61.63,279703,18072672
200.236.61.6,273131,17662104
200.236.61.62,278467,17986700
200.236.61.61,273846,17736714
200.236.61.60,281088,18208228
200.236.61.59,274763,17768408
200.236.61.58,273881,17744695
200.236.61.57,276609,17906294
200.236.61.56,279464,18051656
200.236.61.55,274424,17744918
200.236.61.54,273584,17682277
200.236.61.53,273357,17679834
200.236.61.5,276766,17883875
200.236.61.52,277535,17932629
200.236.61.51,273287,17672602
200.236.61.50,275191,17769608
200.236.61.49,278411,17999129
200.236.61.48,276495,17894125
200.236.61.47,274992,17837312
200.236.61.46,273764,17697430
200.236.61.45,276622,17889345
200.236.61.44,275499,17793620
200.236.61.43,276726,17875168
200.236.61.4,277684,17966702
200.236.61.42,285051,18421717
200.236.61.41,273556,17733933
200.236.61.40,272151,17586044
200.236.61.39,274668,17796744
200.236.61.38,277113,17934259
200.236.61.37,276001,17871704
200.236.61.36,278459,17991948
200.236.61.35,276568,17856490
200.236.61.34,276377,17860276
200.236.61.33,284114,18300780
200.236.61.3,279596,18137350
200.236.61.32,274598,17794607
200.236.61.31,273550,17670301
200.236.61.30,274404,17764404
200.236.61.29,274098,17719482
200.236.61.28,275478,17840902
200.236.61.27,282479,18239996
200.236.61.26,293048,18882678
200.236.61.255,270415,17478257
200.236.61.254,274439,17764978
200.236.61.253,276053,17845775
200.236.61.25,274462,17766755
200.236.61.252,273413,17705270
200.236.61.251,275741,17838124
200.236.61.250,272048,17629385
200.236.61.249,274150,17728532
200.236.61.248,272832,17624116
200.236.61.247,275491,17804291
200.236.61.246,275851,17868031
200.236.61.245,271578,17543409
200.236.61.244,275033,17780224
200.236.61.243,275188,17799530
200.236.61.24,274333,17740188
200.236.61.242,276790,17885964
200.236.61.241,274346,17748139
200.236.61.240,275642,17807435
200.236.61.239,275474,17803658
200.236.61.238,273275,17725063
200.236.61.237,303808,19509576
200.236.61.236,275775,17914360
200.236.61.235,278916,18130974
200.236.61.234,271202,17566485
200.236.61.233,283427,18314639
200.236.61.23,282111,18338870
200.236.61.232,273290,17680327
200.236.61.231,273614,17713786
200.236.61.230,280081,18172916
200.236.61.229,280592,18112936
200.236.61.228,306289,19688065
200.236.61.2,277569,17949472
200.236.61.227,271911,17602996
200.236.61.226,273764,17698427
200.236.61.225,276648,17895208
200.236.61.224,274844,17803601
200.236.61.223,279528,18032187
200.236.61.22,288004,18741258
200.236.61.222,284904,18384888
200.236.61.221,275391,17806224
200.236.61.220,275980,17848313
200.236.61.219,275791,17827632
200.236.61.218,272707,17628417
200.236.61.217,276020,17854219
200.236.61.216,276058,17858049
200.236.61.215,275437,17785781
200.236.61.214,276577,17890360
200.236.61.213,275676,17847922
200.236.61.21,275851,17819643
200.236.61.212,274331,17739076
200.236.61.211,274803,17781496
200.236.61.210,274926,17753245
200.236.61.209,273398,17706812
200.236.61.208,274441,17773813
200.236.61.207,278118,17988468
200.236.61.206,274723,17802254
200.236.61.205,274570,17766995
200.236.61.204,274023,17751174
200.236.61.203,273850,17715876
200.236.61.20,274132,17750556
200.236.61.202,276484,17886050
200.236.61.201,282784,18665308
200.236.61.200,276271,17844411
200.236.61.199,273955,17712020
200.236.61.198,279348,18061659
200.236.61.197,276299,17886536
200.236.61.196,276764,17925913
200.236.61.195,274530,17791761
200.236.61.194,272898,17646569
200.236.61.193,273838,17735789
200.236.61.19,273543,17677442
200.236.61.192,275591,17796387
200.236.61.191,276021,17851340
200.236.61.190,274218,17704258
200.236.61.189,276902,17906032
200.236.61.188,275896,17828697
200.236.61.187,274078,17728124
200.236.61.186,280767,18265011
200.236.61.185,285671,18423573
200.236.61.184,275743,17822203
200.236.61.183,279555,18067123
200.236.61.18,276103,17848093
200.236.61.182,273301,17702894
200.236.61.181,276754,17908005
200.236.61.180,276040,17841297
200.236.61.179,274261,17763577
200.236.61.178,276701,17877944
200.236.61.177,273668,17712666
200.236.61.176,273976,17725437
200.236.61.175,273987,17675758
200.236.61.174,280234,18086028
200.236.61.173,277638,17922815
200.236.61.17,275325,17801295
200.236.61.172,276633,17901557
200.236.61.171,275096,17783935
200.236.61.170,276283,17860653
200.236.61.169,273278,17701009
200.236.61.168,277677,17944166
200.236.61.167,273605,17717051
200.236.61.166,275859,17804317
200.236.61.165,275777,17887201
200.236.61.164,277932,17936646
200.236.61.163,280782,18157354
200.236.61.16,275284,17821754
200.236.61.162,276157,17897139
200.236.61.161,291198,18782873
200.236.61.160,278232,18004016
200.236.61.159,280124,18152161
200.236.61.158,273826,17731778
200.236.61.157,276969,17896736
200.236.61.156,305614,33915478
200.236.61.155,273662,17727106
200.236.61.154,277761,17990713
200.236.61.153,274495,17748689
200.236.61.15,281236,18179767
200.236.61.152,278928,18004501
200.236.61.151,285589,18425726
200.236.61.150,278667,18036303
200.236.61.149,274691,17764158
200.236.61.148,278336,18005026
200.236.61.147,301074,19351637
200.236.61.146,297661,19139168
200.236.61.145,274572,17790120
200.236.61.144,274645,17754440
200.236.61.143,280341,18110200
200.236.61.14,303392,19474142
200.236.61.142,278782,18014417
200.236.61.141,277067,17911403
200.236.61.140,275167,17806211
200.236.61.139,274721,17754690
200.236.61.138,273080,17677792
200.236.61.137,277324,17926970
200.236.61.136,272656,17619117
200.236.61.135,275528,17815592
200.236.61.134,277008,17907328
200.236.61.133,275970,17824680
200.236.61.13,277272,17921322
200.236.61.132,276941,17980025
200.236.61.131,274369,17755666
200.236.61.130,277027,17881959
200.236.61.129,280304,18168293
200.236.61.128,271530,17561679
200.236.61.1,275305,17806574
200.236.61.127,284854,18366360
200.236.61.126,279105,18040846
200.236.61.125,274097,17740674
200.236.61.124,274306,17758574
200.236.61.123,274444,17729964
200.236.61.12,275411,17799364
200.236.61.122,282993,18283654
200.236.61.121,277475,17937408
200.236.61.120,279740,18065875
200.236.61.119,272729,17643634
200.236.61.118,275327,17800184
200.236.61.117,277443,17956809
200.236.61.116,274026,17703590
200.236.61.115,272726,17632074
200.236.61.114,304418,34049273
200.236.61.113,279261,18074534
200.236.61.11,274216,17766182
200.236.61.112,276155,17861861
200.236.61.111,276220,17826081
200.236.61.110,277114,17933396
200.236.61.109,276028,17871122
200.236.61.108,276205,17874115
200.236.61.107,273719,17684449
200.236.61.106,278687,18009433
200.236.61.105,276771,17883691
200.236.61.104,277260,17918306
200.236.61.103,275982,17805549
200.236.61.10,278511,18035433
200.236.61.102,275275,17777607
200.236.61.101,323224,20697596
200.236.61.100,276127,17871594
200.236.61.0,270394,17456448
200.236.60.99,278550,18035662
200.236.60.98,274410,17782144
200.236.60.97,276703,17911110
200.236.60.96,273848,17735382
200.236.60.95,274410,17768970
200.236.60.94,275434,17846269
200.236.60.93,276597,17921595
200.236.60.9,283789,18344876
200.236.60.92,277177,17896267
200.236.60.91,286910,18667381
200.236.60.90,277004,17990065
200.236.60.89,276158,17864299
200.236.60.88,275963,17851568
200.236.60.87,273598,17709949
200.236.60.86,273411,17673840
200.236.60.85,274189,17733943
200.236.60.84,272961,17680172
200.236.60.83,282771,18261541
200.236.60.8,296991,19123989
200.236.60.82,272695,17676922
200.236.60.81,275633,17855127
200.236.60.80,274340,17748421
200.236.60.79,275295,17859123
200.236.60.78,272494,17660478
200.236.60.77,276832,17919635
200.236.60.76,275621,17830428
200.236.60.75,277308,17913295
200.236.60.74,276445,17905102
200.236.60.73,276584,17884388
200.236.60.7,275124,17992595
200.236.60.72,272854,17660626
200.236.60.71,275619,17883674
200.236.60.70,284878,18389011
200.236.60.69,276201,17886382
200.236.60.68,274813,17807956
200.236.60.67,276619,17879632
200.236.60.66,274582,17795869
200.236.60.65,274206,17704576
200.236.60.64,278198,17997526
200.236.60.63,277514,17922920
200.236.60.6,276849,17952411
200.236.60.62,284540,18365073
200.236.60.61,274929,17783273
200.236.60.60,273930,17780747
200.236.60.59,277647,17950716
200.236.60.58,274112,17726246
200.236.60.57,274684,17784624
200.236.60.56,273867,17735746
200.236.60.55,275542,17850607
200.236.60.54,277836,17959065
200.236.60.53,276140,17832725
200.236.60.5,275518,17809418
200.236.60.52,276411,17868595
200.236.60.51,274654,17797418
200.236.60.50,274184,17755221
200.236.60.49,275325,17800167
200.236.60.48,272069,17645623
200.236.60.47,277049,17933260
200.236.60.46,274132,17745620
200.236.60.45,275163,17810729
200.236.60.44,274191,17756007
200.236.60.43,275627,17858585
200.236.60.4,277807,17999886
200.236.60.42,276414,17858348
200.236.60.41,273647,17726930
200.236.60.40,273362,17730085
200.236.60.39,276778,17907221
200.236.60.38,273597,17689285
200.236.60.37,279452,18042726
200.236.60.36,275904,17874775
200.236.60.35,275611,17815084
200.236.60.34,274844,17801558
200.236.60.33,274175,17738471
200.236.60.3,277570,17953374
200.236.60.32,273477,17699749
200.236.60.31,282000,18210678
200.236.60.30,273291,17709763
200.236.60.29,272210,17619865
200.236.60.28,277268,17939885
200.236.60.27,273124,17677855
200.236.60.26,275241,17808162
200.236.60.255,302417,19471274
200.236.60.254,272925,17651828
200.236.60.253,278179,17956876
200.236.60.25,276317,17914245
200.236.60.252,276784,17871352
200.236.60.251,275857,17852034
200.236.60.250,274184,17729369
200.236.60.249,273437,17690513
200.236.60.248,276607,17895096
200.236.60.247,275222,17857497
200.236.60.246,273714,17693265
200.236.60.245,276204,17875234
200.236.60.244,280190,18106048
200.236.60.243,275249,17817923
200.236.60.24,274239,17748817
200.236.60.242,277661,17993467
200.236.60.241,274239,17714860
200.236.60.240,276748,17906913
200.236.60.239,273359,17696996
200.236.60.238,276571,17879624
200.236.60.237,275823,17835052
200.236.60.236,280408,18168896
200.236.60.235,274303,17721097
200.236.60.234,276502,17910860
200.236.60.233,279949,18079931
200.236.60.23,276951,17910334
200.236.60.232,275296,17816887
200.236.60.231,276918,17947206
200.236.60.230,275719,17886366
200.236.60.229,274264,17744513
200.236.60.228,275935,17893376
200.236.60.2,274872,17799857
200.236.60.227,274731,17765734
200.236.60.226,274195,17724298
200.236.60.225,275887,17903620
200.236.60.224,277909,17990592
200.236.60.223,277647,17927998
200.236.60.22,273974,17747427
200.236.60.222,277958,17971198
200.236.60.221,274158,17743800
200.236.60.220,274306,17738334
200.236.60.219,274026,17765886
200.236.60.218,275383,17833406
200.236.60.217,274203,17737905
200.236.60.216,274437,17757847
200.236.60.215,273702,17689633
200.236.60.214,272708,17688024
200.236.60.213,280313,18139986
200.236.60.21,272550,17662352
200.236.60.212,274349,17768649
200.236.60.211,273983,17743308
200.236.60.210,275683,17832001
